sepal_length,sepal_width
very short,medium
very short,medium
very short,medium
very short,medium
very short,medium
short,long
very short,medium
very short,medium
very short,medium
very short,medium
short,long
very short,medium
very short,medium
very short,medium
short,long
short,long
short,long
very short,medium
short,long
very short,long
short,medium
very short,long
very short,medium
very short,medium
very short,medium
very short,medium
very short,medium
very short,medium
very short,medium
very short,medium
very short,medium
short,medium
very short,long
short,long
very short,medium
very short,medium
short,medium
very short,medium
very short,medium
very short,medium
very short,medium
very short,short
very short,medium
very short,medium
very short,long
very short,medium
very short,long
very short,medium
short,long
very short,medium
long,medium
long,medium
long,medium
short,short
long,short
short,short
long,medium
very short,short
long,medium
very short,short
very short,short
short,medium
short,short
short,medium
short,medium
long,medium
short,medium
short,short
long,short
short,short
short,medium
short,short
long,short
short,short
long,medium
long,medium
long,short
long,medium
short,medium
short,short
short,short
short,short
short,short
short,short
short,medium
short,medium
long,medium
long,short
short,medium
short,short
short,short
short,medium
short,short
very short,short
short,short
short,medium
short,medium
long,medium
very short,short
short,short
long,medium
short,short
very long,medium
long,medium
long,medium
very long,medium
very short,short
very long,medium
long,short
very long,medium
long,medium
long,short
long,medium
short,short
short,short
long,medium
long,medium
very long,long
very long,short
short,short
long,medium
short,short
very long,short
long,short
long,medium
very long,medium
long,short
short,medium
long,short
very long,medium
very long,short
very long,long
long,short
long,short
short,short
very long,medium
long,medium
long,medium
short,medium
long,medium
long,medium
long,medium
short,short
long,medium
long,medium
long,medium
long,short
long,medium
long,medium
short,medium
